Name,Aliases,Root,Chord,Frets,Fingering,CAGED Order,Fingering When Used as CAGED,Frets When Used as CAGED,BASE!,
C Major,C,C,,X 3 2 0 1 0,X 3 2 0 1 0,A E,,,,
C Minor,Cm,C,m,,,A E,,,,
C Diminished,Cdim,C,dim,,,,,,,
C Augmented,Caug,C,aug,,,B,,,,
C Maj7,Cmaj7,C,maj7,x 3 2 0 0 0,x 3 2 0 0 0,,,,,
C Dominant 7th,C7,C,7,x 3 2 3 1 0,x 3 2 4 1 0,,,,,
C Minor 7th,Cm7,C,m7,,,A E B,,,,
C Half-Diminshed,Cm7b5,C,m7b5,,,A F,,,,
C Add 9,Cadd9,C,add9,x 3 2 0 3 3,x 1 2 0 3 4,,,,,
,,,,x 3 2 0 3 0,x 1 2 0 3 0,,,,,
C Sus 2,Csus2,C,sus2,x 3 0 0 1 3,x 3 0 0 1 4,,,,,
C Add 4,Cadd4,C,add4,x 3 3 0 1 0,x 3 4 0 1 0,,,,,
C Sus4,Csus4,C,sus4,x 3 3 0 1 1,x 3 4 0 1 1,,,,,
C 6,C6,C,6,x 3 2 2 1 0,x 4 2 3 1 0,,,,,
C Minor add 9,Cmadd9,C,add9,x 3 1 0 3 x,x 3 1 0 4 x,,,,,
C Minor add 4,Cmadd4,C,madd4,,,A,,,,
C Minor 6,Cm6,C,m6,,,B,,,,
C Major 9,Cmaj9,C,maj9,x 3 2 4 3 0,x 2 1 4 3 0,,,,,
C Major 11,Cmaj11,C,maj11,x 3 2 0 0 1,x 3 2 0 0 1,,,,,
C Major 13,Cmaj13,C,maj13,x 3 2 2 0 3,x 3 2 1 0 4,,,,,
C Major #11,Cmaj#11,C,maj#11,x 3 2 0 0 2,x 3 2 0 0 2,,,,,
C Minor 9,"Cm9, Cm7/9",C,"m9, m7/9",,,B E,,,,
C Minor 11,Cm11,C,m11,,,B,,,,
C Minor 13,Cm13,C,m13,,,A E,,,,
C Minor flat 9,Cm(b9),C,m(b9),,,B,,,,
C Minor flat 13,Cm(b13),C,(b13),,,A E,X,,,
C Minor sharp 11,Cm(#11),C,m(#11),,,B,,,,
C Minor Major 7th,Cm(maj7),C,m(maj7),,,E A,,,,
C Dominant 7/9,"C9, C7/9",C,"9, 7/9",,,Bb,X,,,
C Dominant 7sus2,C7sus2,C,7sus2,,,A,,,,
C Dominant 7/11,"C11, C7sus4",C,7sus4,,,A E,X,,,
C Dominant 7/13,C13,C,13,,,A E,,,,
C Dominant 7/9b,C7(b9),C,b9,,,Bb,,,,
C Dominant 7/11#,C(#11),C,#11,,,E,,,,
C Dominant 7/13b,C(b13),C,b13,,,E A,,,,
C Dominant 7/b5,C7b5,C,7b5,,,A,,,,
C Augmented 7,Caug7,C,aug7,,,A,,,,
C add6 add9,C6/9,C,6/9,,,Bb,,,,
C Minor add6 add9,Cm6/9,C,m6/9,,,B,,,,
C Major 7 13/9,Cmaj13/9,C,maj13/9,,,E,X,,,
C Dominant 7 13/9,C13/9,C,13/9,,,E,X,,,
C Dominant 7 13/b9,C13/b9,C,13/b9,,,E,,,,
C Dominant 7#9,C7#9,C,7#9,,,Bb,,,,
,,,,,,,,,,
D Major,D,D,,x x 0 2 3 2,x x 0 1 3 2,A E,,,,
D Minor,Dm,D,m,x x 0 2 3 1,x x 0 2 3 1,A E,,,,
D Diminished,Ddim,D,dim,x x 0 1 0 1,x x 0 1 0 3,,,,, 
D Augmented,Daug,D,aug,x x 0 3 3 2,x x 0 2 3 1,,,,,
D Maj7,Dmaj7,D,maj7,x x 0 2 2 2,x x 0 1 1 1,,,,,
D Dominant 7,D7,D,7,x x 0 2 1 2,x x 0 3 1 2,,,,,
D Minor 7th,Dm7,D,m7,x x 0 2 1 1,x x 0 2 1 1,,,,,
D Half-Diminshed,Dm7b5,D,m7b5,x x 0 1 1 1,x x 0 1 1 1,,,,,
D Add 9,Dadd9,D,add9,,,,,,,
D Sus 2,Dsus2,D,sus2,x x 0 2 3 0,x x 0 1 3 0,,,,,
D Add 4,Dadd4,D,add4,,,,,,,
D Sus4,Dsus4,D,sus4,x x 0 2 3 3,x x 0 1 3 4,,,,,
D 6,D6,D,6,x x 0 2 0 2,x x 0 2 0 3,,,,,
D Minor add 9,Dmadd9,D,add9,,,,,,,
D Minor add 4,Dmadd4,D,madd4,,,,,,,
D Minor 6,Dm6,D,m6,x x 0 2 0 1,x x 0 2 0 1,,,,,
D Major 9,Dmaj9,D,maj9,,,,,,,
D Major 11,Dmaj11,D,maj11,,,,,,,
D Major 13,Dmaj13,D,maj13,,,,,,,
D Major #11,Dmaj#11,D,maj#11,,,,,,,
D Minor 9,"Dm9, Dm7/9",D,"m9, m7/9",,,,,,,
D Minor 11,Dm11,D,m11,,,,,,,
D Minor 13,Dm13,D,m13,,,,,,,
D Minor flat 9,Dm(b9),D,m(b9),,,,,,,
D Minor flat 13,Dm(b13),D,(b13),,,,,,,
D Minor sharp 11,Dm(#11),D,m(#11),,,,,,,
D Minor Major 7th,Dm(maj7),D,m(maj7),,,,,,,
