Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
C Major,C,C,M,X 3 2 0 1 0,X 3 2 0 1 0,A E,,,,,
,,Db,,x 4 2 0 1 0,x 4 2 0 1 0,Ab C# E,,,,,
,,D,,x x 0 0 1 0,x x 0 0 1 0,G E D,,,,,
,,,,x x 0 5 5 3,x x 0 3 4 1,,,,,,
,,Eb,,,,G,,,,,
,,E,,x x 2 0 1 0,x x 2 0 1 0,G F,,2,,,
,,,,0 3 2 0 1 0,0 3 2 0 1 0,,,1,,,
,,,,0 x x 0 1 0,0 x x 0 1 0,,,3,,1 x x 2 4 3,
,,F,,x x 3 0 1 0,x x 3 0 1 0,A E G,,,,,
,,,,1 3 2 0 1 0 ,1 4 3 0 2 0,,,,,,
,,,,1 x x 0 1 0,1 x x 0 2 0,,,,,,
,,F#,,2 3 2 0 1 0 ,2 4 3 0 1 0,A E,,,,,
,,,,2 x 2 0 1 0 ,2 x 3 0 1 0,,,,,,
,,G,,3 3 2 0 1 0,3 4 2 0 1 0,A E G,,,,,
,,Ab,,4 3 2 0 1 0,4 3 2 0 1 0,Ab E,,,,,
,,A,,x 0 2 0 1 0,x 0 2 0 1 0 ,,,,,,Am7
,,,,x 0 5 5 5 3,x 0 2 3 4 1,,,,,,
,,Bb,,x 1 2 0 1 x,x 1 3 0 2 x,G E,,,,,
,,,,x 1 2 0 1 0,x 1 3 0 2 0,,,,,,
,,,,x 1 x 0 1 0,x 1 x 0 2 0,,,,,,
,,B,,x 2 2 0 1 0,x 2 3 0 1 0 ,G E F Bb,,,,,
,,,,x 2 x 0 1 0,x 2 x 0 1 0 ,,,,,,
C Minor,Cm,C,m,x 3 5 5 4 3,x 1 3 4 2 1,A E  D,,,,,
,,Db,,,,Ab C# E,,,,,
,,D,,x x 0 5 4 3,x x 0 3 2 1,Ab E C# D,,,,,
,,Eb,,,,C# Ab E F#,,,,,
,,E,,0 3 5 5 4 3,0 1 3 4 2 1,F C#,,,,,
,,F,,,,A E C#,,,,,
,,F#,,2 x 1 0 1 x,3 x 1 0 2 x,E A,,,,,
,,G,,,,A E D,,,,,
,,Ab,,4 x 5 5 4 3,,Ab F C# E,,,,,
,,A,,x 0 5 5 4 3,x 0 3 4 2 1,Ab F C#,,,,,
,,,,x 0 1 0 1 x,x 0 1 0 2 x,,,,,x 1 3 2 4 x,
,,Bb,,x 1 1 0 1 x,x 1 2 0 3 x,Ab E F# C#,,,,,
,,B,,x 2 1 0 1 x,x 3 1 0 2 x,E F,,,,,
C Diminished,Cdim,C,dim,,,Bb D A F,,,,,
C Augmented,Caug,C,aug,,,B E A G,,,,,
C Maj7,Cmaj7,C,maj7,x 3 2 0 0 0,x 3 2 0 0 0,A E F D G,,,,,
,,Db,,,,Ab E,,,,,
,,D,,,,G D E Ab,,,,,
,,Eb,,,,G,,,,,
,,E,,0 3 2 0 0 0,0 3 2 0 0 0,B G F,,,,,
,,F,,1 3 2 0 0 0,1 3 2 0 0 0,E,,,,1 4 3 1 1 1,
,,F#,,2 3 2 0 0 0,1 3 2 0 0 0,E,,,,,
,,G,,3 3 2 0 0 0,2 3 1 0 0 0,A G E D,,,,,
,,Ab,,4 3 2 0 0 0,3 2 1 0 0 0,D,,,,,
,,A,,x 0 10 9 8 7,x 0 4 3 2 1,G Ab,,,,,
,,Bb,,x 1 2 0 0 0,x 1 2 0 0 0,G,,,,,
,,B,,,,E F G,,,,,
C Dominant 7th,C7,C,7,x 3 2 3 1 0,x 3 2 4 1 0,A E D G B,,,,,
,,Db,,,,Ab E,,,,,
,,D,,,,G E D,,,,,
,,Eb,,,,G E,,,,,
,,E,,0 3 2 3 1 0,0 3 2 4 1 0,B G D,,,,,
,,F,,,,B E,,,,,
,,F#,,,,E,,,,,
,,G,,3 x 2 3 1 0,3 x 2 4 1 0,B A G E D,,,,,
,,Ab,,,,Ab E,,,,,
,,A,,x 0 2 3 1 3,x 0 2 3 1 4,A G,,,,,
,,Bb,,x 1 2 3 1 0,x 1 3 4 2 0,B G E,,,,,
,,B,,x 2 2 3 1 0,x 2 3 4 1 0,G,,,,,
C Minor 7th,Cm7,C,m7,,,A E B D,,,,,
,,Db,,,,A Ab E,,,,,
,,D,,,,E D,,,,,
,,Eb,,,,D F#,,,,,
,,E,,0 3 5 3 4 3,0 1 3 1 2 1,F,,,,,
,,F,,,,A B E,,,,,
,,F#,,,,E Ab,,,,,
,,G,,,,B A E D,,,,,
,,Ab,,,,A E,,,,,
,,A,,x 0 1 3 1 3,x 0 1 3 1 3,A,,,,,
,,Bb,,,,B A F# E,,,,,
,,B,,,,B F,,,,,
"C Half-Diminshed",Cm7b5,C,m7b5,,,,,,,,
C Add 9,Cadd9,C,add9,x 3 2 0 3 3,x 1 2 0 3 4,E A,,,,,
,,,,x 3 2 0 3 0,x 1 2 0 3 0,,,,,,
,,,,x 3 0 0 1 0,x 3 0 0 1 0,,,,,,
C Sus 2,Csus2,C,sus2,x 3 0 0 1 3,x 3 0 0 1 4,A D,,,,,
C Add 4,Cadd4,C,add4,x 3 3 0 1 0,x 3 4 0 1 0,A E G,,,,,
C Sus4,Csus4,C,sus4,x 3 3 0 1 1,x 3 4 0 1 1,A E D,,,,,
C 5 (Power Chord),C5,C,5,,,A E D,,,,,
C 6,C6,C,6,x 3 2 2 1 0,x 4 2 3 1 0,A E F D G,,,,,
C Minor add 9,Cmadd9,C,madd9,x 3 1 0 3 x,x 3 1 0 4 x,E,,,,,
C Minor add 4,Cmadd4,C,madd4,,,A E,,,,,
C Minor 6,Cm6,C,m6,,,E B F D,,,,,
C Major 9,Cmaj9,C,maj9,x 3 2 4 3 0,x 2 1 4 3 0,Bb E,,,,,
C Major 11,Cmaj11,C,maj11,x 3 2 0 0 1,x 3 2 0 0 1,A E,,,,,
C Major 13,Cmaj13,C,maj13,x 3 2 2 0 3,x 3 2 1 0 4,E,,,,,
C Major #11,Cmaj#11,C,maj#11,x 3 2 0 0 2,x 3 2 0 0 2,A E,,,,,
