Name,P.Cs,Quality
Augmented chord,4/8/2000,Augmented
Augmented eleventh chord,0 4 7 t 2 6,Major
Augmented major seventh chord,0 4 8 e,Augmented
Augmented seventh chord,0 4 8 t,Augmented
Augmented sixth chord,6/8/2000,Predominant
Diminished chord,3/6/2000,Diminished
Diminished major seventh chord,0 3 6 e,Diminished
Diminished seventh chord,0 3 6 9,Diminished
Dominant,4/7/2000,Major
Dominant eleventh chord,0 4 7 t 2 5,Major
Dominant minor ninth,0 4 7 t 1,Major
Dominant ninth,0 4 7 t 2,Major
Dominant parallel,3/7/2000,Minor
Dominant seventh chord,0 4 7 t,Major
Dominant seventh flat five chord,0 4 6 t,Diminished
Dominant seventh raised ninth/Dominant seventh split third chord,0 4 7 t 3,Major
Dominant thirteenth chord,0 4 7 t 2 5 9,Major
Dream chord,0 5 6 7,Just
Elektra chord,0 7 9 1 4,Bitonal
Farben chord,0 8 e 4 9,Atonal
Half-diminished seventh chord,0 3 6 t,Diminished
Harmonic seventh chord,0 4 7 t,Major
Hendrix chord/Augmented ninth[9],0 4 7 t 3,Mixed
Leading-tone chord,3/6/2000,Diminished
Lydian chord,0 4 7 e 6,Major
Magic chord,—,Just
Major chord,4/7/2000,Major
Major eleventh chord,0 4 7 e 2 5,Major
Major seventh chord,0 4 7 e,Major
Major seventh sharp eleventh chord,0 4 7 e 6,Augmented
Major sixth chord,0 4 7 9,Major
Major sixth ninth chord,0 4 7 9 2,Major
Major ninth chord,0 4 7 e 2,Major
Major thirteenth chord,0 4 7 e 2 6 9,Major
Mediant,3/7/2000,Minor
Minor chord,3/7/2000,Minor
Minor eleventh chord,0 3 7 t 2 5,Minor
Minor major seventh chord,0 3 7 e,Minor
Minor ninth chord,0 3 7 t 2,Minor
Minor seventh chord,0 3 7 t,Minor
Minor sixth chord,0 3 7 9,Minor
Minor sixth ninth chord (6/9),0 3 7 9 2,Minor
Minor thirteenth chord,0 3 7 t 2 5 9,Minor
Mu chord,0 2 4 7,Major
Mystic chord,0 6 t 4 9 2,Atonal
Neapolitan chord,1/5/2008,Major
Ninth augmented fifth chord,0 4 8 t 2,Augmented
Ninth flat fifth chord,0 4 6 t 2,M3+d5
Northern Lights chord,1 2 8 0 3 6 7 t e 4 7,Atonal
"""Ode-to-Napoleon"" hexachord",0 1 4 5 8 9,Atonal
Petrushka chord,0 1 4 6 7 t,Mixed
Power chord,0 7,Indeterminate
Psalms chord,3/7/2000,Minor
Secondary dominant,4/7/2000,Major
Secondary leading-tone chord,3/6/2000,Diminished
Secondary supertonic chord,3/7/2000,Minor
Seven six chord[16],0 4 7 9 t,Major
Seventh flat nine chord[18],0 4 7 t 1,Major
Seventh suspension four chord[19],0 5 7 t,Suspended
So What chord,0 5 t 3 7,Bitonal
Suspended chord,5/7/2000,Indeterminate
Subdominant,4/7/2000,Major
Subdominant parallel,3/7/2000,Minor
Submediant,3/7/2000,Minor
Subtonic,4/7/2000,Major
Supertonic,3/7/2000,Minor
Thirteenth flat ninth chord[11],0 4 7 t 1 x 9,Major
Thirteenth flat ninth flat fifth chord[11],0 4 6 t 1 x 9,M3+d5
Tonic counter parallel,3/7/2000,Minor
Tonic (music),4/7/2000,Major
Tonic parallel,3/7/2000,Minor
Tristan chord,0 3 6 t,Predominant
Viennese trichord,0 1 6 or 0 6 7,Atonal
